style,style_category
American Adjunct Lager,Pale Lager and Pilsner
American Amber / Red Ale,Pale Ale
American Amber / Red Lager,Dark Lager
American Barleywine,Speciality Beer
American Black Ale,Speciality Beer
American Blonde Ale,Pale Ale
American Brett,Speciality Beer
American Brown Ale,Dark Ale
American Brut IPA,India Pale Ale
American Cream Ale,Pale Ale
American Dark Wheat Ale,Dark Ale
American Imperial IPA,India Pale Ale
American Imperial Pilsner,Pale Lager and Pilsner
American Imperial Porter,Porter
American Imperial Red Ale,Pale Ale
American Imperial Stout,Stout
American IPA,India Pale Ale
American Lager,Pale Lager and Pilsner
American Light Lager,Pale Lager and Pilsner
American Malt Liquor,Dark Ale
American Pale Ale (APA),Pale Ale
American Pale Wheat Ale,Pale Ale
American Porter,Porter
American Stout,Stout
American Strong Ale,Pale Ale
American Wheatwine Ale,Wheat Beer
American Wild Ale,Pale Ale
Baltic Porter,Porter
Belgian Blonde Ale,Pale Ale
Belgian Dark Ale,Dark Ale
Belgian Dubbel,Pale Ale
Belgian Faro,Wild & Sour Ale
Belgian Fruit Lambic,Wild & Sour Ale
Belgian Gueuze,Wild & Sour Ale
Belgian IPA,India Pale Ale
Belgian Lambic,Wild & Sour Ale
Belgian Pale Ale,Pale Ale
Belgian Quadrupel (Quad),Dark Ale
Belgian Saison,Pale Ale
Belgian Strong Dark Ale,Dark Ale
Belgian Strong Pale Ale,Pale Ale
Belgian Tripel,Speciality Beer
Belgian Witbier,Wheat Beer
Berliner Weisse,Wheat Beer
Bière de Champagne / Bière Brut,Speciality Beer
Bohemian Pilsener,Pale Lager and Pilsner
Braggot,Speciality Beer
British Barleywine,Dark Ale
California Common / Steam Beer,Dark Lager
Chile Beer,Pale Lager and Pilsner
English Bitter,Pale Ale
English Brown Ale,Dark Ale
English Dark Mild Ale,Dark Ale
English Extra Special / Strong Bitter (ESB),Pale Ale
English India Pale Ale (IPA),India Pale Ale
English Oatmeal Stout,Stout
English Old Ale,Dark Ale
English Pale Ale,Pale Ale
English Pale Mild Ale,Pale Ale
English Porter,Porter
English Stout,Stout
English Strong Ale,Dark Ale
English Sweet / Milk Stout,Stout
European Dark Lager,Dark Lager
European Export / Dortmunder,Pale Lager and Pilsner
European Pale Lager,Pale Ale
European Strong Lager,Pale Lager and Pilsner
Finnish Sahti,Dark Ale
Flanders Oud Bruin,Dark Ale
Flanders Red Ale,Pale Ale
Foreign / Export Stout,Stout
French Bière de Garde,Pale Ale
Fruit and Field Beer,Speciality Beer
German Altbier,Dark Lager
German Bock,Dark Lager
German Doppelbock,Dark Lager
German Dunkelweizen,Wheat Beer
German Eisbock,Dark Lager
German Hefeweizen,Wheat Beer
German Helles,Pale Lager and Pilsner
German Kellerbier / Zwickelbier,Pale Lager and Pilsner
German Kölsch,Pale Ale
German Kristalweizen,Wheat Beer
German Maibock,Dark Lager
German Märzen / Oktoberfest,Dark Lager
German Pilsner,Pale Lager and Pilsner
German Rauchbier,Speciality Beer
German Roggenbier,Dark Lager
German Schwarzbier,Dark Lager
German Weizenbock,Dark Lager
Herb and Spice Beer,Speciality Beer
Irish Dry Stout,Stout
Irish Red Ale,Pale Ale
Japanese Happoshu,Speciality Beer
Japanese Rice Lager,Pale Lager and Pilsner
Leipzig Gose,Speciality Beer
Low Alcohol Beer,Speciality Beer
Munich Dunkel Lager,Dark Lager
New England IPA,India Pale Ale
Pumpkin Beer,Speciality Beer
Robust Porter,Porter
Russian Imperial Stout,Stout
Russian Kvass,Speciality Beer
Rye Beer,Speciality Beer
Scotch Ale / Wee Heavy,Speciality Beer
Scottish Ale,Speciality Beer
Scottish Gruit / Ancient Herbed Ale,Speciality Beer
Smoke Beer,Speciality Beer
Smoke Porter,Speciality Beer
Vienna Lager,Pale Lager and Pilsner
Wild/Sour Beers,Wild & Sour Ale
Winter Warmer,Dark Ale
